PlayerName,Club,DistanceCovered(InKms),Goals,MinutestoGoalRatio,ShotsPerGame,AgentCharges,BMI,Cost,PreviousClubCost,Height,Weight,Score,LastName,FirstName,FullName,PlayerID,Goals_x_ShotsPerGame,DistanceCovered(InKms)_x_Goals,Weight_x_DistanceCovered(InKms),BMI_x_DistanceCovered(InKms),Cost_x_Goals,ShotsPerGame_x_MinutestoGoalRatio,GoalToShotRatio,GoalsPerDistance,ShotsPerDistance,ScoringRate,BMI_Category,ScorePerMillion,GoalsPerMillion,CostGrowth,ScoreToAgentRatio,ExpectedScore,ValueAssessment,ValueCategory,Club_CHE,Club_LIV,Club_MUN,ClubMeanScore,ClubEffect,ClubStrengthIndex
"Beesley, Mr. Lawrence",MUN,4.71,5.3,41.4,14.0,38,25.75,160.10000000000002,68.53,193.4,96.3,28.83,Beesley,Mr. Lawrence,Mr. Lawrence Beesley,Mr. Lawrence Beesley (MUN),74.2,24.962999999999997,453.573,121.2825,848.5300000000001,579.6,0.37857142857142856,1.1252653927813163,2.9723991507431,2.1739130434782608,Overweight,0.18007495315427854,0.03310430980637101,2.336203122719977,0.7586842105263157,30.913960166531098,-2.0839601665310994,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Sloper, Mr. William Thompson",MUN,4.62,7.3,43.8,14.7,26,21.2,76.8,61.85,188.7,75.5,18.08,Sloper,Mr. William Thompson,Mr. William Thompson Sloper,Mr. William Thompson Sloper (MUN),107.30999999999999,33.726,348.81,97.944,560.64,643.8599999999999,0.4965986394557823,1.58008658008658,3.1818181818181817,2.0547945205479454,Normal,0.23541666666666666,0.09505208333333333,1.2417138237671785,0.6953846153846153,15.054449425714564,3.0255505742854343,Undervalued,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Emir, Mr. Farred Chehab",MUN,4.35,7.8,41.4,14.1,30,22.03,117.8,48.32,169.1,63.0,23.3,Emir,Mr. Farred Chehab,Mr. Farred Chehab Emir,Mr. Farred Chehab Emir (MUN),109.97999999999999,33.93,274.04999999999995,95.8305,918.8399999999999,583.74,0.5531914893617021,1.793103448275862,3.241379310344828,2.1739130434782608,Normal,0.19779286926994907,0.06621392190152801,2.437913907284768,0.7766666666666667,22.860451110870358,0.43954888912964307,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Fortune, Mr. Charles Alexander",MUN,4.26,6.2,41.0,13.9,48,25.44,90.2,66.24,177.9,80.5,17.71,Fortune,Mr. Charles Alexander,Mr. Charles Alexander Fortune,Mr. Charles Alexander Fortune (MUN),86.18,26.412,342.93,108.3744,559.24,569.9,0.4460431654676259,1.455399061032864,3.262910798122066,2.1951219512195124,Overweight,0.19634146341463415,0.06873614190687362,1.3617149758454108,0.36895833333333333,17.605679244765483,0.104320755234518,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Todoroff, Mr. Lalio",MUN,4.63,6.0,43.7,14.7,30,22.63,97.2,57.92,177.5,71.3,18.77,Todoroff,Mr. Lalio,Mr. Lalio Todoroff,Mr. Lalio Todoroff (MUN),88.19999999999999,27.78,330.11899999999997,104.7769,583.2,642.39,0.40816326530612246,1.2958963282937366,3.1749460043196542,2.059496567505721,Normal,0.19310699588477365,0.06172839506172839,1.6781767955801106,0.6256666666666667,18.93841123979208,-0.16841123979208206,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Uruchurtu, Don. Manuel E",MUN,4.36,5.8,40.3,13.3,29,21.86,99.9,56.52,179.6,70.5,19.83,Uruchurtu,Don. Manuel E,Don. Manuel E Uruchurtu,Don. Manuel E Uruchurtu (MUN),77.14,25.288,307.38,95.3096,579.42,535.99,0.43609022556390975,1.330275229357798,3.05045871559633,2.2332506203473947,Normal,0.19849849849849846,0.058058058058058054,1.767515923566879,0.6837931034482758,19.452465009302344,0.3775349906976544,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Wheadon, Mr. Edward H",MUN,3.91,7.3,37.6,12.9,43,22.27,125.9,54.78,181.3,73.2,25.16,Wheadon,Mr. Edward H,Mr. Edward H Wheadon,Mr. Edward H Wheadon (MUN),94.17,28.543,286.21200000000005,87.0757,919.07,485.04,0.5658914728682171,1.867007672634271,3.29923273657289,2.3936170212765955,Normal,0.19984114376489276,0.0579825258141382,2.298284045271997,0.5851162790697675,24.402612419401137,0.7573875805988628,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Meyer, Mr. Edgar Joseph",MUN,4.51,8.3,43.7,14.7,34,21.27,69.9,56.31,179.7,68.7,18.04,Meyer,Mr. Edgar Joseph,Mr. Edgar Joseph Meyer,Mr. Edgar Joseph Meyer (MUN),122.01,37.433,309.837,95.92769999999999,580.1700000000001,642.39,0.5646258503401361,1.8403547671840357,3.259423503325942,2.059496567505721,Normal,0.2580829756795422,0.11874105865522175,1.241342567927544,0.5305882352941176,13.740756459188347,4.299243540811652,Undervalued,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Holverson, Mr. Alexander Oskar",MUN,4.37,8.1,41.8,14.3,53,23.47,98.0,62.96,185.2,80.5,21.79,Holverson,Mr. Alexander Oskar,Mr. Alexander Oskar Holverson,Mr. Alexander Oskar Holverson (MUN),115.83,35.397,351.785,102.5639,793.8,597.74,0.5664335664335663,1.8535469107551485,3.272311212814645,2.1531100478468903,Normal,0.2223469387755102,0.08265306122448979,1.5565438373570522,0.4111320754716981,19.090723467795122,2.699276532204877,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Mamee, Mr. Hanna",MUN,4.9,6.9,44.0,14.5,59,23.19,96.8,56.68,177.3,72.9,22.25,Mamee,Mr. Hanna,Mr. Hanna Mamee,Mr. Hanna Mamee (MUN),100.05000000000001,33.81,357.21000000000004,113.63100000000001,667.92,638.0,0.47586206896551725,1.4081632653061225,2.9591836734693877,2.0454545454545454,Normal,0.22985537190082644,0.0712809917355372,1.7078334509527169,0.3771186440677966,18.86225512579056,3.3877448742094387,Undervalued,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Cann, Mr. Ernest Charles",MUN,4.46,5.7,39.2,13.0,43,23.17,80.3,62.39,179.3,74.5,16.25,Cann,Mr. Ernest Charles,Mr. Ernest Charles Cann,Mr. Ernest Charles Cann (MUN),74.10000000000001,25.422,332.27,103.3382,457.71,509.6,0.43846153846153846,1.2780269058295965,2.914798206278027,2.2959183673469385,Normal,0.20236612702366127,0.07098381070983811,1.2870652348132714,0.37790697674418605,15.720815423227865,0.5291845767721348,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Kraeff, Mr. Theodor",MUN,3.95,3.3,36.9,12.5,40,24.54,74.9,63.05,175.3,75.4,16.38,Kraeff,Mr. Theodor,Mr. Theodor Kraeff,Mr. Theodor Kraeff (MUN),41.25,13.035,297.83000000000004,96.933,247.17000000000002,461.25,0.264,0.8354430379746834,3.1645569620253164,2.4390243902439024,Normal,0.2186915887850467,0.04405874499332443,1.187946074544013,0.4095,14.692707884207346,1.687292115792653,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Rogers, Mr. William John",MUN,4.46,9.5,41.5,14.5,92,22.96,83.0,56.05,174.0,69.5,19.35,Rogers,Mr. William John,Mr. William John Rogers,Mr. William John Rogers (MUN),137.75,42.37,309.96999999999997,102.4016,788.5,601.75,0.6551724137931034,2.1300448430493275,3.2511210762331837,2.1686746987951806,Normal,0.23313253012048193,0.1144578313253012,1.480820695807315,0.21032608695652175,16.234869192738124,3.1151308072618775,Undervalued,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Lennon, Mr. Denis",MUN,5.02,6.4,44.8,15.2,48,19.76,91.0,53.65,183.3,66.4,19.2,Lennon,Mr. Denis,Mr. Denis Lennon,Mr. Denis Lennon (MUN),97.28,32.128,333.328,99.1952,582.4,680.9599999999999,0.4210526315789474,1.2749003984063747,3.0278884462151394,2.0089285714285716,Normal,0.210989010989011,0.07032967032967033,1.696178937558248,0.39999999999999997,17.757991472768524,1.4420085272314758,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Samaan, Mr. Youssef",MUN,4.26,5.8,41.2,14.1,77,23.36,76.2,65.45,184.7,79.7,17.89,Samaan,Mr. Youssef,Mr. Youssef Samaan,Mr. Youssef Samaan (MUN),81.78,24.708,339.522,99.5136,441.96,580.9200000000001,0.41134751773049644,1.3615023474178405,3.3098591549295775,2.1844660194174756,Normal,0.2347769028871391,0.07611548556430446,1.1642475171886937,0.23233766233766234,14.940215254712285,2.9497847452877153,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Panula, Master. Juha Niilo",MUN,4.46,5.6,41.1,14.3,71,22.67,52.6,64.62,180.2,73.6,12.2,Panula,Master. Juha Niilo,Master. Juha Niilo Panula,Master. Juha Niilo Panula (MUN),80.08,24.976,328.256,101.10820000000001,294.56,587.73,0.39160839160839156,1.2556053811659191,3.2062780269058297,2.18978102189781,Normal,0.23193916349809884,0.10646387832699619,0.8139894769421231,0.17183098591549295,10.44700452862261,1.752995471377389,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Nosworthy, Mr. Richard Cater",MUN,4.16,5.8,39.8,13.3,37,24.24,111.1,60.05,180.2,78.7,23.7,Nosworthy,Mr. Richard Cater,Mr. Richard Cater Nosworthy,Mr. Richard Cater Nosworthy (MUN),77.14,24.128,327.392,100.8384,644.38,529.34,0.43609022556390975,1.3942307692307692,3.1971153846153846,2.261306532663317,Normal,0.21332133213321333,0.052205220522052204,1.8501248959200667,0.6405405405405405,21.5848362013449,2.1151637986551,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Ostby, Mr. Engelhart Cornelius",MUN,4.49,7.6,41.8,14.4,71,24.21,110.7,56.48,176.0,75.0,24.69,Ostby,Mr. Engelhart Cornelius,Mr. Engelhart Cornelius Ostby,Mr. Engelhart Cornelius Ostby (MUN),109.44,34.124,336.75,108.70290000000001,841.3199999999999,601.92,0.5277777777777778,1.6926503340757237,3.2071269487750556,2.1531100478468903,Normal,0.22303523035230352,0.06865401987353206,1.9599858356940512,0.34774647887323945,21.50868008734338,3.1813199126566225,Undervalued,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Woolner, Mr. Hugh",MUN,4.21,7.5,38.4,13.2,73,20.46,74.7,41.54,156.0,49.8,16.58,Woolner,Mr. Hugh,Mr. Hugh Woolner,Mr. Hugh Woolner (MUN),99.0,31.575,209.658,86.1366,560.25,506.87999999999994,0.5681818181818182,1.7814726840855106,3.1353919239904986,2.34375,Normal,0.221954484605087,0.10040160642570281,1.79826673086182,0.22712328767123285,14.654629827206586,1.9253701727934125,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Novel, Mr. Mansouer",MUN,4.57,6.6,42.8,14.5,85,20.81,113.5,52.78,179.7,67.2,21.47,Novel,Mr. Mansouer,Mr. Mansouer Novel,Mr. Mansouer Novel (MUN),95.69999999999999,30.162,307.10400000000004,95.1017,749.0999999999999,620.5999999999999,0.4551724137931034,1.4442013129102842,3.172866520787746,2.1028037383177574,Normal,0.18916299559471364,0.05814977973568282,2.150435771125426,0.2525882352941176,22.04177288535402,-0.5717728853540223,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Goodwin, Master. William Frederick",MUN,4.87,6.4,44.8,15.0,64,20.17,99.8,52.72,180.9,66.0,20.12,Goodwin,Master. William Frederick,Master. William Frederick Goodwin,Master. William Frederick Goodwin (MUN),96.0,31.168000000000003,321.42,98.2279,638.72,672.0,0.4266666666666667,1.3141683778234086,3.080082135523614,2.0089285714285716,Normal,0.20160320641282567,0.06412825651302606,1.893019726858877,0.314375,19.433425980801964,0.6865740191980372,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Sirayanian, Mr. Orsen",MUN,4.44,10.1,42.7,14.0,19,23.06,80.3,61.29,179.5,74.3,17.51,Sirayanian,Mr. Orsen,Mr. Orsen Sirayanian,Mr. Orsen Sirayanian (MUN),141.4,44.844,329.892,102.38640000000001,811.03,597.8000000000001,0.7214285714285714,2.2747747747747744,3.153153153153153,2.1077283372365336,Normal,0.21805728518057288,0.12577833125778332,1.3101647903410019,0.9215789473684212,15.720815423227865,1.7891845767721364,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Harris, Mr. Henry Birkhardt",MUN,4.45,6.6,42.6,14.1,39,24.4,109.5,59.59,178.9,78.1,23.7,Harris,Mr. Henry Birkhardt,Mr. Henry Birkhardt Harris,Mr. Henry Birkhardt Harris (MUN),93.05999999999999,29.37,347.545,108.58,722.6999999999999,600.66,0.46808510638297873,1.4831460674157302,3.1685393258426964,2.112676056338028,Normal,0.21643835616438356,0.06027397260273972,1.8375566370196341,0.6076923076923076,21.280211745338818,2.4197882546611815,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Skoog, Master. Harald",MUN,4.41,5.9,41.1,13.5,41,23.97,123.6,61.7,182.1,79.5,22.39,Skoog,Master. Harald,Master. Harald Skoog,Master. Harald Skoog (MUN),79.65,26.019000000000002,350.595,105.7077,729.24,554.85,0.43703703703703706,1.3378684807256236,3.061224489795918,2.18978102189781,Normal,0.18114886731391586,0.04773462783171521,2.0032414910858996,0.5460975609756098,23.964714763892395,-1.5747147638923948,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Stewart, Mr. Albert A",MUN,4.87,7.3,44.1,14.8,13,22.62,91.2,62.46,186.3,78.5,20.43,Stewart,Mr. Albert A,Mr. Albert A Stewart,Mr. Albert A Stewart (MUN),108.04,35.551,382.295,110.1594,665.76,652.6800000000001,0.4932432432432432,1.4989733059548254,3.0390143737166326,2.0408163265306123,Normal,0.22401315789473683,0.0800438596491228,1.4601344860710854,1.5715384615384616,17.796069529769284,2.633930470230716,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Moubarek, Master. Gerios",MUN,4.56,13.3,42.2,13.6,20,19.16,49.0,53.14,176.8,59.9,11.29,Moubarek,Master. Gerios,Master. Gerios Moubarek,Master. Gerios Moubarek (MUN),180.88,60.647999999999996,273.14399999999995,87.36959999999999,651.7,573.9200000000001,0.9779411764705883,2.916666666666667,2.9824561403508776,2.132701421800948,Normal,0.2304081632653061,0.27142857142857146,0.922092585622883,0.5645,9.761599502608929,1.52840049739107,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Crease, Mr. Ernest James",MUN,4.15,6.0,38.0,12.7,59,21.15,110.2,47.09,172.6,63.0,25.26,Crease,Mr. Ernest James,Mr. Ernest James Crease,Mr. Ernest James Crease (MUN),76.19999999999999,24.900000000000002,261.45000000000005,87.77250000000001,661.2,482.59999999999997,0.4724409448818898,1.4457831325301203,3.060240963855421,2.3684210526315788,Normal,0.22921960072595282,0.0544464609800363,2.3401996177532385,0.428135593220339,21.41348494484148,3.846515055158523,Undervalued,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Kink, Mr. Vincenz",MUN,4.16,7.6,37.5,12.3,22,21.4,89.0,53.44,176.0,66.3,19.39,Kink,Mr. Vincenz,Mr. Vincenz Kink,Mr. Vincenz Kink (MUN),93.48,31.616,275.808,89.024,676.4,461.25,0.6178861788617885,1.8269230769230769,2.956730769230769,2.4,Normal,0.21786516853932586,0.08539325842696628,1.6654191616766467,0.8813636363636363,17.377210902760922,2.0127890972390787,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Jenkin, Mr. Stephen Curnow",MUN,4.32,6.4,37.7,12.3,30,21.03,98.3,48.78,169.9,60.7,19.63,Jenkin,Mr. Stephen Curnow,Mr. Stephen Curnow Jenkin,Mr. Stephen Curnow Jenkin (MUN),78.72000000000001,27.648000000000003,262.22400000000005,90.84960000000001,629.12,463.71000000000004,0.5203252032520325,1.4814814814814814,2.8472222222222223,2.3872679045092835,Normal,0.19969481180061038,0.06510681586978638,2.015170151701517,0.6543333333333333,19.147840553296263,0.48215944670373645,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Hood, Mr. Ambrose Jr",MUN,4.06,5.8,38.7,12.8,78,21.77,122.1,56.05,183.0,72.9,23.11,Hood,Mr. Ambrose Jr,Mr. Ambrose Jr Hood,Mr. Ambrose Jr Hood (MUN),74.24,23.548,295.974,88.38619999999999,708.18,495.36000000000007,0.45312499999999994,1.4285714285714286,3.152709359605912,2.325581395348837,Normal,0.18927108927108927,0.0475020475020475,2.178412132024978,0.29628205128205126,23.679129336386694,-0.5691293363866947,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Chronopoulos, Mr. Apostolos",MUN,4.12,6.1,36.6,11.8,21,21.38,90.4,56.45,178.2,67.9,16.86,Chronopoulos,Mr. Apostolos,Mr. Apostolos Chronopoulos,Mr. Apostolos Chronopoulos (MUN),71.98,25.131999999999998,279.74800000000005,88.0856,551.44,431.88000000000005,0.5169491525423728,1.4805825242718444,2.8640776699029127,2.459016393442623,Normal,0.18650442477876106,0.06747787610619468,1.6014171833480957,0.8028571428571428,17.643757301766243,-0.7837573017662436,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Bing, Mr. Lee",MUN,4.17,5.0,37.4,12.7,109,21.47,106.9,53.11,177.3,67.5,21.32,Bing,Mr. Lee,Mr. Lee Bing,Mr. Lee Bing (MUN),63.5,20.85,281.475,89.5299,534.5,474.97999999999996,0.3937007874015748,1.1990407673860912,3.045563549160671,2.4064171122994655,Normal,0.19943872778297472,0.04677268475210477,2.012803615138392,0.19559633027522935,20.785197004328943,0.5348029956710576,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Moen, Mr. Sigurd Hansen",MUN,3.8,6.6,36.5,12.4,102,24.45,156.6,54.41,174.1,74.1,26.57,Moen,Mr. Sigurd Hansen,Mr. Sigurd Hansen Moen,Mr. Sigurd Hansen Moen (MUN),81.84,25.08,281.58,92.91,1033.56,452.6,0.532258064516129,1.736842105263158,3.2631578947368425,2.4657534246575343,Normal,0.16966794380587485,0.0421455938697318,2.878147399375115,0.2604901960784314,30.247594169017795,-3.6775941690177945,Overvalued,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Staneff, Mr. Ivan",MUN,3.96,5.5,36.3,12.4,71,22.63,101.1,55.97,173.6,68.2,17.93,Staneff,Mr. Ivan,Mr. Ivan Staneff,Mr. Ivan Staneff (MUN),68.2,21.78,270.072,89.61479999999999,556.05,450.12,0.4435483870967742,1.3888888888888888,3.1313131313131315,2.479338842975207,Normal,0.17734915924826905,0.05440158259149357,1.8063248168661783,0.25253521126760564,19.680933351306898,-1.750933351306898,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Moutal, Mr. Rahamin Haim",MUN,4.44,9.7,41.4,14.1,64,22.8,126.4,51.62,173.7,68.8,24.97,Moutal,Mr. Rahamin Haim,Mr. Rahamin Haim Moutal,Mr. Rahamin Haim Moutal (MUN),136.76999999999998,43.068,305.47200000000004,101.23200000000001,1226.08,583.74,0.6879432624113475,2.1846846846846844,3.1756756756756754,2.1739130434782608,Normal,0.19754746835443035,0.07674050632911392,2.448663308795041,0.39015625,24.497807561903038,0.4721924380969611,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Caldwell, Master. Alden Gates",MUN,4.27,10.6,37.7,12.5,68,23.58,114.0,58.27,178.7,75.3,22.62,Caldwell,Master. Alden Gates,Master. Alden Gates Caldwell,Master. Alden Gates Caldwell (MUN),132.5,45.26199999999999,321.53099999999995,100.68659999999998,1208.3999999999999,471.25000000000006,0.848,2.4824355971896956,2.927400468384075,2.3872679045092835,Normal,0.19842105263157894,0.09298245614035087,1.956409816372061,0.3326470588235294,22.13696802785592,0.48303197214407945,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Waelens, Mr. Achille",MUN,3.9,6.3,35.9,12.1,78,20.06,70.0,57.28,183.3,67.4,15.01,Waelens,Mr. Achille,Mr. Achille Waelens,Mr. Achille Waelens (MUN),76.22999999999999,24.57,262.86,78.234,441.0,434.39,0.5206611570247934,1.6153846153846154,3.1025641025641026,2.5069637883008355,Normal,0.2144285714285714,0.09,1.2220670391061452,0.19243589743589742,13.759795487688727,1.2502045123112726,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Sheerlinck, Mr. Jan Baptist",MUN,4.02,9.1,37.7,12.7,107,23.01,77.0,57.3,174.4,70.0,18.14,Sheerlinck,Mr. Jan Baptist,Mr. Jan Baptist Sheerlinck,Mr. Jan Baptist Sheerlinck (MUN),115.57,36.581999999999994,281.4,92.50019999999999,700.6999999999999,478.79,0.7165354330708662,2.2636815920398012,3.1592039800995027,2.3872679045092835,Normal,0.2355844155844156,0.11818181818181818,1.343804537521815,0.16953271028037384,15.092527482715326,3.0474725172846746,Undervalued,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
"Carrau, Mr. Francisco M",MUN,4.39,9.6,38.3,12.5,39,24.64,148.9,54.18,173.3,74.0,26.78,Carrau,Mr. Francisco M,Mr. Francisco M Carrau,Mr. Francisco M Carrau (MUN),120.0,42.144,324.85999999999996,108.16959999999999,1429.44,478.74999999999994,0.768,2.1867881548974943,2.847380410022779,2.349869451697128,Normal,0.17985224983210207,0.06447280053727333,2.7482465854558877,0.6866666666666666,28.781588974488535,-2.0015889744885342,Fair Value,False,False,True,20.515254237288136,6.98818956067122,0.1395080792471621
